,city_proper,lat,lng,total_listings,apartment,bed&breakfast,boat,boutiquehotel,bungalow,cabin,camperrv,castle,cave,chalet,condominium,dorm,earthhouse,entirefloor,guesthouse,hostel,house,hut,island,lighthouse,loft,other,plane,tent,timeshare,tipi,townhouse,train,treehouse,villa,yurt
0,"Austin, TX",30.2711286,-97.7436994,3766,1127.0,20.0,1.0,0.0,10.0,15.0,27.0,0.0,0.0,1.0,65.0,0.0,2.0,0.0,0.0,0.0,2356.0,1.0,0.0,0.0,61.0,32.0,0.0,9.0,0.0,1.0,30.0,0.0,3.0,5.0,0.0
1,"Boston, MA",42.3604823,-71.0595677,2782,1976.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,2.0,0.0,1.0,1.0,0.0,495.0,0.0,0.0,0.0,31.0,9.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,2.0,0.0
2,"Chicago, IL",41.8755546,-87.6244211,4070,3191.0,21.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,186.0,8.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,0.0,129.0,11.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0
3,"Denver, CO",39.7391536,-104.9847033,1990,713.0,15.0,0.0,0.0,7.0,1.0,5.0,2.0,1.0,0.0,96.0,6.0,1.0,0.0,0.0,0.0,998.0,0.0,0.0,0.0,56.0,5.0,0.0,0.0,0.0,0.0,82.0,0.0,1.0,1.0,0.0
4,"Los Angeles, CA",34.054935,-118.2444759,19609,9164.0,253.0,24.0,0.0,346.0,66.0,75.0,8.0,0.0,3.0,443.0,80.0,1.0,4.0,26.0,0.0,7982.0,4.0,0.0,0.0,435.0,171.0,3.0,18.0,0.0,2.0,393.0,1.0,7.0,95.0,5.0
5,"Nasville, TN",36.1597722,-86.610245067,2759,577.0,12.0,1.0,0.0,15.0,9.0,6.0,0.0,0.0,0.0,114.0,19.0,0.0,7.0,3.0,0.0,1822.0,0.0,0.0,0.0,68.0,13.0,0.0,1.0,0.0,0.0,89.0,0.0,2.0,1.0,0.0
6,"New Orleans, LA",29.9499323,-90.0701155,3749,1508.0,86.0,0.0,0.0,15.0,5.0,3.0,2.0,1.0,4.0,173.0,0.0,0.0,9.0,14.0,0.0,1812.0,0.0,0.0,0.0,31.0,50.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,9.0,0.0
7,"New York, NY",40.7305991,-73.9865811,30304,26000.0,122.0,4.0,2.0,7.0,2.0,1.0,3.0,1.0,1.0,246.0,24.0,0.0,0.0,27.0,1.0,2517.0,1.0,1.0,0.0,741.0,186.0,0.0,0.0,1.0,0.0,408.0,0.0,0.0,8.0,0.0
8,"Oakland, CA",37.8044557,-122.2713562,1295,491.0,6.0,4.0,0.0,10.0,7.0,1.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,39.0,10.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0
9,"Portland, OR",45.5202471,-122.6741948,3056,763.0,47.0,5.0,0.0,22.0,29.0,13.0,0.0,0.0,0.0,48.0,0.0,3.0,0.0,0.0,0.0,1984.0,2.0,0.0,0.0,29.0,45.0,0.0,20.0,0.0,0.0,37.0,0.0,1.0,8.0,0.0
10,"San Diego, CA",32.7174209,-117.1627713,4456,1574.0,43.0,17.0,0.0,60.0,11.0,10.0,0.0,0.0,2.0,308.0,25.0,0.0,0.0,0.0,0.0,2091.0,0.0,0.0,0.0,87.0,42.0,0.0,2.0,0.0,0.0,152.0,0.0,3.0,29.0,0.0
11,"San Francisco, CA",37.7792808,-122.4192362,6264,3720.0,72.0,5.0,0.0,8.0,8.0,4.0,1.0,0.0,0.0,265.0,48.0,0.0,0.0,0.0,0.0,1903.0,0.0,0.0,1.0,122.0,50.0,0.0,1.0,0.0,0.0,52.0,0.0,2.0,2.0,0.0
12,"Seattle, WA",47.6038321,-122.3300623,3158,1424.0,26.0,4.0,0.0,9.0,21.0,10.0,0.0,0.0,2.0,68.0,2.0,0.0,0.0,0.0,0.0,1453.0,0.0,0.0,0.0,33.0,19.0,0.0,4.0,0.0,0.0,80.0,0.0,2.0,0.0,1.0
13,"Washington, DC",38.8949549,-77.0366455,2847,1728.0,38.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,954.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0
