,year,date,title,author
0,1942,January 4,The Keys of the Kingdom,A. J. Cronin
1,1942,January 11,Windswept,Mary Ellen Chase
2,1942,January 18,Windswept,Mary Ellen Chase
3,1942,January 25,Windswept,Mary Ellen Chase
4,1942,February 1,Windswept,Mary Ellen Chase
5,1942,February 8,Dragon Seed,Pearl S. Buck
6,1942,February 15,Frenchman's Creek,Daphne du Maurier
7,1942,February 22,Dragon Seed,Pearl S. Buck
8,1942,March 1,Dragon Seed,Pearl S. Buck
9,1942,March 8,Dragon Seed,Pearl S. Buck
10,1942,March 15,Dragon Seed,Pearl S. Buck
11,1942,March 22,The Moon Is Down,John Steinbeck
12,1942,March 29,The Moon Is Down,John Steinbeck
13,1942,April 5,The Moon Is Down,John Steinbeck
14,1942,April 12,The Moon Is Down,John Steinbeck
15,1942,April 19,The Moon Is Down,John Steinbeck
16,1942,April 26,The Moon Is Down,John Steinbeck
17,1942,May 3,The Moon Is Down,John Steinbeck
18,1942,May 10,The Moon Is Down,John Steinbeck
19,1942,May 17,The Moon Is Down,John Steinbeck
20,1942,May 24,The Moon Is Down,John Steinbeck
21,1942,May 31,The Moon Is Down,John Steinbeck
22,1942,June 7,The Moon Is Down,John Steinbeck
23,1942,June 14,And Now Tomorrow,Rachel Field
24,1942,June 21,And Now Tomorrow,Rachel Field
25,1942,June 28,And Now Tomorrow,Rachel Field
26,1942,July 5,And Now Tomorrow,Rachel Field
27,1942,July 12,And Now Tomorrow,Rachel Field
28,1942,July 19,The Song of Bernadette,Franz Werfel
29,1942,July 26,The Song of Bernadette,Franz Werfel
30,1942,August 2,And Now Tomorrow,Rachel Field
31,1942,August 9,And Now Tomorrow,Rachel Field
32,1942,August 16,The Song of Bernadette,Franz Werfel
33,1942,August 23,The Song of Bernadette,Franz Werfel
34,1942,August 30,The Song of Bernadette,Franz Werfel
35,1942,September 6,Drivin' Woman,Elizabeth Chevalier
36,1942,September 13,The Song of Bernadette,Franz Werfel
37,1942,September 20,The Song of Bernadette,Franz Werfel
38,1942,September 27,The Song of Bernadette,Franz Werfel
39,1942,October 4,The Song of Bernadette,Franz Werfel
40,1942,October 11,The Song of Bernadette,Franz Werfel
41,1942,October 18,The Song of Bernadette,Franz Werfel
42,1942,October 25,The Song of Bernadette,Franz Werfel
43,1942,November 1,The Song of Bernadette,Franz Werfel
44,1942,November 8,The Song of Bernadette,Franz Werfel
45,1942,November 15,The Song of Bernadette,Franz Werfel
46,1942,November 22,The Robe,Lloyd Douglas
47,1942,November 29,The Robe,Lloyd Douglas
48,1942,December 6,The Robe,Lloyd Douglas
49,1942,December 13,The Robe,Lloyd Douglas
50,1942,December 20,The Robe,Lloyd Douglas
