,date,title,author
0,"January 4, 1942",The Keys of the Kingdom,A. J. Cronin
1,"January 11, 1942",Windswept,Mary Ellen Chase
2,"January 18, 1942",Windswept,Mary Ellen Chase
3,"January 25, 1942",Windswept,Mary Ellen Chase
4,"February 1, 1942",Windswept,Mary Ellen Chase
5,"February 8, 1942",Dragon Seed,Pearl S. Buck
6,"February 15, 1942",Frenchman's Creek,Daphne du Maurier
7,"February 22, 1942",Dragon Seed,Pearl S. Buck
8,"March 1, 1942",Dragon Seed,Pearl S. Buck
9,"March 8, 1942",Dragon Seed,Pearl S. Buck
10,"March 15, 1942",Dragon Seed,Pearl S. Buck
11,"March 22, 1942",The Moon Is Down,John Steinbeck
12,"March 29, 1942",The Moon Is Down,John Steinbeck
13,"April 5, 1942",The Moon Is Down,John Steinbeck
14,"April 12, 1942",The Moon Is Down,John Steinbeck
15,"April 19, 1942",The Moon Is Down,John Steinbeck
16,"April 26, 1942",The Moon Is Down,John Steinbeck
17,"May 3, 1942",The Moon Is Down,John Steinbeck
18,"May 10, 1942",The Moon Is Down,John Steinbeck
19,"May 17, 1942",The Moon Is Down,John Steinbeck
20,"May 24, 1942",The Moon Is Down,John Steinbeck
21,"May 31, 1942",The Moon Is Down,John Steinbeck
22,"June 7, 1942",The Moon Is Down,John Steinbeck
23,"June 14, 1942",And Now Tomorrow,Rachel Field
24,"June 21, 1942",And Now Tomorrow,Rachel Field
25,"June 28, 1942",And Now Tomorrow,Rachel Field
26,"July 5, 1942",And Now Tomorrow,Rachel Field
27,"July 12, 1942",And Now Tomorrow,Rachel Field
28,"July 19, 1942",The Song of Bernadette,Franz Werfel
29,"July 26, 1942",The Song of Bernadette,Franz Werfel
30,"August 2, 1942",And Now Tomorrow,Rachel Field
31,"August 9, 1942",And Now Tomorrow,Rachel Field
32,"August 16, 1942",The Song of Bernadette,Franz Werfel
33,"August 23, 1942",The Song of Bernadette,Franz Werfel
34,"August 30, 1942",The Song of Bernadette,Franz Werfel
35,"September 6, 1942",Drivin' Woman,Elizabeth Chevalier
36,"September 13, 1942",The Song of Bernadette,Franz Werfel
37,"September 20, 1942",The Song of Bernadette,Franz Werfel
38,"September 27, 1942",The Song of Bernadette,Franz Werfel
39,"October 4, 1942",The Song of Bernadette,Franz Werfel
40,"October 11, 1942",The Song of Bernadette,Franz Werfel
41,"October 18, 1942",The Song of Bernadette,Franz Werfel
42,"October 25, 1942",The Song of Bernadette,Franz Werfel
43,"November 1, 1942",The Song of Bernadette,Franz Werfel
44,"November 8, 1942",The Song of Bernadette,Franz Werfel
45,"November 15, 1942",The Song of Bernadette,Franz Werfel
46,"November 22, 1942",The Robe,Lloyd Douglas
47,"November 29, 1942",The Robe,Lloyd Douglas
48,"December 6, 1942",The Robe,Lloyd Douglas
49,"December 13, 1942",The Robe,Lloyd Douglas
50,"December 20, 1942",The Robe,Lloyd Douglas
51,"December 27, 1942",The Robe,Lloyd Douglas
52,"January 3, 1943",The Robe,Lloyd Douglas
53,"January 10, 1943",The Robe,Lloyd Douglas
54,"January 17, 1943",The Robe,Lloyd Douglas
55,"January 24, 1943",The Robe,Lloyd Douglas
56,"January 31, 1943",The Robe,Lloyd Douglas
57,"February 7, 1943",The Robe,Lloyd Douglas
58,"February 14, 1943",The Robe,Lloyd Douglas
59,"February 21, 1943",The Robe,Lloyd Douglas
60,"February 28, 1943",The Robe,Lloyd Douglas
61,"March 7, 1943",The Robe,Lloyd Douglas
62,"March 14, 1943",Mrs. Parkington,Louis Bromfield
63,"March 21, 1943",The Robe,Lloyd Douglas
64,"March 28, 1943",The Robe,Lloyd Douglas
65,"April 4, 1943",The Robe,Lloyd Douglas
66,"April 11, 1943",The Robe,Lloyd Douglas
67,"April 18, 1943",The Robe,Lloyd Douglas
68,"April 25, 1943",The Robe,Lloyd Douglas
69,"May 2, 1943",The Robe,Lloyd Douglas
70,"May 9, 1943",The Robe,Lloyd Douglas
71,"May 16, 1943",The Robe,Lloyd Douglas
72,"May 23, 1943",The Robe,Lloyd Douglas
73,"May 30, 1943",The Robe,Lloyd Douglas
74,"June 6, 1943",The Robe,Lloyd Douglas
75,"June 13, 1943",The Robe,Lloyd Douglas
76,"June 20, 1943",The Robe,Lloyd Douglas
77,"June 27, 1943",The Robe,Lloyd Douglas
78,"July 4, 1943",The Robe,Lloyd Douglas
79,"July 11, 1943",The Robe,Lloyd Douglas
80,"July 18, 1943",The Robe,Lloyd Douglas
81,"July 25, 1943",The Robe,Lloyd Douglas
82,"August 1, 1943",The Robe,Lloyd Douglas
83,"August 8, 1943",The Robe,Lloyd Douglas
84,"August 15, 1943",The Robe,Lloyd Douglas
85,"August 22, 1943",The Robe,Lloyd Douglas
86,"August 29, 1943",The Robe,Lloyd Douglas
87,"September 5, 1943",The Robe,Lloyd Douglas
88,"September 12, 1943",The Robe,Lloyd Douglas
